time mnvel errvel tel
2457782.65615 -6682.78 3.71 harps-n
2457783.61632 -6710.55 5.95 harps-n
2457783.72195 -6698.96 8.76 harps-n
2457812.59115 -6672.32 4.00 harps-n
2457812.66810 -6672.00 4.22 harps-n
2457812.72111 -6690.31 4.63 harps-n
2457813.53461 -6701.27 4.12 harps-n
2457813.56281 -6700.71 5.34 harps-n
2457813.58430 -6695.97 3.67 harps-n
2457813.60761 -6705.87 4.23 harps-n
2457813.63498 -6694.27 5.12 harps-n
2457813.65657 -6699.99 5.00 harps-n
2457813.68168 -6696.17 10.43 harps-n
2457836.48220 -6675.40 7.03 harps-n
2457836.50805 -6665.92 7.48 harps-n
2457836.53315 -6661.90 6.03 harps-n
2457836.55735 -6657.92 5.08 harps-n
2457836.58220 -6667.00 4.72 harps-n
2457836.60656 -6668.85 3.97 harps-n
2457836.63080 -6671.00 4.38 harps-n
2457836.65503 -6671.76 5.12 harps-n
2457837.47474 -6707.18 5.09 harps-n
2457837.49701 -6709.14 6.08 harps-n
2457837.51966 -6714.79 4.02 harps-n
2457837.54103 -6704.63 5.38 harps-n
2457837.56389 -6712.95 12.03 harps-n
2457838.52396 -6720.53 3.27 harps-n
2457838.54842 -6726.57 3.42 harps-n
2457838.57294 -6719.73 3.34 harps-n
2457838.59768 -6725.33 3.72 harps-n
2457838.62169 -6712.55 4.64 harps-n
2457838.64668 -6713.49 4.98 harps-n
2457844.44051 -6700.01 4.63 harps-n
2457844.47029 -6700.62 4.24 harps-n
2457844.49442 -6697.37 4.55 harps-n
2457844.51857 -6701.16 5.18 harps-n
2457844.54365 -6699.62 6.26 harps-n
2457844.56786 -6695.05 6.64 harps-n
2457844.59224 -6688.51 8.83 harps-n
2457828.85718 -45.17 3.88 pfs
2457828.87266 -36.47 4.03 pfs
2457829.70652 -20.52 3.55 pfs
2457829.72141 -4.58 6.07 pfs
2457830.59287 17.71 3.56 pfs
2457830.60890 23.34 3.48 pfs
2457830.68486 21.34 3.51 pfs
2457830.70112 19.92 3.26 pfs
2457830.74201 -0.74 3.44 pfs
2457830.75830 16.90 3.50 pfs
2457830.83794 8.25 4.64 pfs
2457830.85420 -4.06 4.91 pfs
2457832.60032 -29.51 4.96 pfs
2457832.61610 -21.56 4.11 pfs
2457832.69542 -25.76 5.59 pfs
2457833.62080 2.10 3.91 pfs
2457833.63700 4.38 3.73 pfs
2457833.71138 2.23 4.12 pfs
2457833.72778 -1.98 4.06 pfs
2457833.82991 0.55 3.54 pfs
2457833.84582 -4.49 3.69 pfs
2457848.53428 9.40 4.49 pfs
2457848.55023 2.09 4.17 pfs
2457848.63414 7.27 4.23 pfs
2457848.65008 6.40 4.15 pfs
2457848.70933 29.22 3.92 pfs
2457848.72551 14.37 4.19 pfs
2457848.75682 23.83 5.51 pfs
2457848.77330 6.85 5.44 pfs
2457848.79458 19.56 5.14 pfs
2457848.81068 10.63 5.45 pfs
