time mnvel errvel tel
56762.639368 -19166.52 1.93 harps
56764.647510 -19168.57 1.45 harps
56765.622661 -19178.93 1.38 harps
56766.637190 -19182.07 5.99 harps
56768.669315 -19174.07 1.75 harps
56769.737457 -19168.53 1.16 harps
56783.561093 -19175.10 1.19 harps
56784.564843 -19177.03 1.15 harps
56785.617658 -19177.83 1.43 harps
56798.576307 -19166.23 0.99 harps
56799.561359 -19168.19 1.32 harps
56800.551758 -19167.10 1.14 harps
56801.524205 -19166.80 1.30 harps
56802.539813 -19164.89 2.00 harps
56803.572851 -19164.08 1.79 harps
56813.516317 -19171.77 0.88 harps
56814.537057 -19163.74 1.07 harps
56816.639846 -19163.67 0.90 harps
56828.455942 -19165.01 1.78 harps
56829.423431 -19163.63 1.23 harps
56830.454195 -19169.56 1.11 harps
56831.713969 -19165.78 1.04 harps
56832.468881 -19163.67 1.15 harps
56833.531472 -19173.73 1.38 harps
56834.451861 -19169.47 1.17 harps
56835.497761 -19174.28 1.18 harps
56836.452270 -19166.71 1.71 harps
56836.614171 -19164.59 1.42 harps
56845.433549 -19162.66 1.31 harps
56846.481384 -19173.12 0.94 harps
56847.439704 -19173.99 1.64 harps
56848.402826 -19167.54 1.46 harps
56849.404363 -19167.75 1.61 harps
56850.412033 -19171.20 3.00 harps
56851.408417 -19164.95 0.91 harps
56852.407578 -19172.83 1.56 harps
56853.411021 -19163.06 1.22 harps
56863.638019 -19177.08 2.06 harps
56863.680716 -19167.18 1.88 harps
56864.501604 -19170.09 1.21 harps
56864.622460 -19164.62 1.43 harps
56865.515222 -19167.71 1.30 harps
56865.651969 -19163.92 1.69 harps
56866.489974 -19172.41 1.54 harps
56866.602485 -19176.65 2.53 harps
57115.684925 -19170.21 1.97 harps
57122.653637 -19173.91 1.47 harps
57156.575680 -19175.15 3.58 harps
57158.600352 -19177.45 2.66 harps
57159.594238 -19169.55 1.78 harps
57160.591769 -19170.20 1.46 harps
57160.701948 -19173.38 1.25 harps
57161.578918 -19173.95 1.62 harps
57161.695126 -19172.80 1.37 harps
57180.506372 -19164.00 1.32 harps
57180.722189 -19169.61 1.35 harps
57181.488048 -19163.85 1.41 harps
57181.727141 -19161.05 1.30 harps
57182.478739 -19169.18 1.58 harps
57182.689347 -19164.93 1.32 harps
57183.511190 -19173.15 1.55 harps
57183.717099 -19168.87 1.71 harps
57184.479947 -19178.99 3.00 harps
57184.690358 -19176.01 2.12 harps
57185.477951 -19174.57 1.47 harps
57185.681916 -19171.39 1.45 harps
57186.475909 -19168.82 1.42 harps
57186.704226 -19163.21 1.25 harps
57188.483535 -19168.47 1.78 harps
57188.698634 -19168.32 1.42 harps
57189.475993 -19173.50 2.02 harps
57189.690663 -19169.02 1.90 harps
57190.488312 -19165.22 1.57 harps
57190.704741 -19162.65 1.34 harps
57191.488650 -19163.93 1.28 harps
57191.704385 -19166.76 1.33 harps
57192.485794 -19168.26 1.37 harps
57192.702373 -19170.10 1.39 harps
57193.488920 -19160.15 1.47 harps
57193.703220 -19165.44 1.32 harps
57195.488609 -19165.45 1.84 harps
57195.637281 -19166.29 1.75 harps
15439.938 2.61 2.1 hires
15439.941 8.44 2.2 hires
15439.943 3.99 2.2 hires
15440.771 -0.53 2.2 hires
15440.773 -0.73 2.0 hires
15440.775 -6.18 2.2 hires
15440.987 -3.99 2.3 hires
15440.989 -5.95 2.3 hires
15440.991 0.84 2.2 hires
15455.826 -3.01 2.1 hires
15455.828 -7.30 2.1 hires
15455.830 2.74 2.0 hires
15464.788 14.96 1.8 hires
15464.790 10.45 1.8 hires
15464.793 10.72 1.8 hires
15465.866 14.74 1.8 hires
15465.869 4.12 1.9 hires
15465.872 7.47 1.9 hires
15466.725 -0.56 1.9 hires
15466.727 -3.96 2.0 hires
15466.729 1.87 2.0 hires
15467.848 -9.35 1.9 hires
15467.849 -0.91 2.0 hires
15467.851 3.14 2.1 hires
15468.714 -1.64 2.0 hires
15468.716 2.15 1.9 hires
15468.718 1.55 2.0 hires
15469.753 -4.89 1.7 hires
15469.755 -8.50 1.8 hires
15469.758 1.13 1.8 hires
15471.847 1.18 2.0 hires
15471.849 -3.06 1.8 hires
15471.852 -7.47 1.8 hires
15486.819 -2.46 2.0 hires
15486.822 0.56 2.2 hires
15486.824 -2.85 2.0 hires
15490.819 -3.67 2.0 hires
15490.821 -5.84 2.1 hires
15490.823 -7.85 1.9 hires
15521.759 -8.33 2.2 hires
